component_id,lot_id,device_variant,disposition_B,risk_B,driving_parameter,driving_headroom_frac,n_params_predicted,n_params_flagged,confidence,extrapolation_flag,reason_code,reason_text,contract_version,model_bundle_version,feature_set_version,train_data_version,generator_seed,split_version,inputs_max_epoch_h,run_id,predicted_at
C0218,L005,CMOS_A,PASS,0.0039,Output_Fall_Time_ns,0.9961,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0219,L005,CMOS_A,PASS,0.019,Output_Rise_Time_ns,0.981,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0220,L005,CMOS_A,PASS,0.0355,Output_Rise_Time_ns,0.9645,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0221,L005,CMOS_A,PASS,0.0261,Output_Rise_Time_ns,0.9739,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0222,L005,CMOS_A,PASS,0.0162,Output_Fall_Time_ns,0.9838,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0223,L005,CMOS_A,PASS,0.1241,Supply_Current_ICC_uA,0.8759,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0224,L005,CMOS_A,PASS,0.1418,Supply_Current_ICC_uA,0.8582,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0225,L005,CMOS_A,PASS,0.0697,Supply_Current_ICC_uA,0.9303,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0226,L005,CMOS_A,MONITOR,0.0751,Output_Rise_Time_ns,0.9249,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0227,L005,CMOS_A,PASS,0.0136,IDDQ_uA,0.9864,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0228,L005,CMOS_A,MONITOR,0.0857,Output_Rise_Time_ns,0.9143,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0229,L005,CMOS_A,PASS,0.064,Output_Fall_Time_ns,0.936,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0230,L005,CMOS_A,PASS,0.0312,Supply_Current_ICC_uA,0.9688,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0231,L005,CMOS_A,MONITOR,0.1516,Output_Rise_Time_ns,0.9206,6,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
C0232,L005,CMOS_A,PASS,0.0331,Propagation_Delay_ns,0.9669,6,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,b1-contract-0.6,b1-v0.3,fs-0h24h-lot-v2,SIH26170-MOCK-02,26172,LOTSPLIT-03,24,b1_2026-09-11T1024Z_8ccc16,2026-09-11T10:24:15+00:00
