claim,status,detail
the datasheet-limit rule raises zero false positives on the whole release,PASS,0 false positives in 5076 normals
"the zero-FP claim is stated with an upper bound, not as 'never'",PASS,95% upper bound 0.0590%
the holdout CONFIRMED tier contains no normal component,PASS,"23 confirmed, 0 normals"
the shipped nested estimate is 45 of 54 at 9 false alarms,PASS,tp=45 fp=9
the before-state under the same protocol is 44 of 54 at 7,PASS,tp=44 fp=7
the nested run was made at the budget the release ships at,PASS,0.01
"at a 0.01 budget, 6 of 12 folds chose pure lot_relative",PASS,6 of 12
"at a 0.01 budget, no fold chose the inherited overall_extreme",PASS,max overall_extreme 0.0
"at a 0.03 budget, 12 of 12 folds chose pure lot_relative",PASS,12 of 12
"at a 0.03 budget, no fold chose the inherited overall_extreme",PASS,max overall_extreme 0.0
the frozen artifact's config digest matches the code,PASS,2b2fa4da5ee36e7c
the frozen artifact on disk matches its receipt hash,PASS,ef536d7cd0a1d506
the frozen weights are the ones the docs name,PASS,"{""electrical"": 0.0, ""temporal"": 0.0, ""timing"": 0.0, ""overall_extreme"": 0.0, ""lot_relative"": 1.0}"
holdout 0 h predictions unchanged since stage 8 wrote them,PASS,59cab8f291629b77
holdout 24 h predictions unchanged since stage 8 wrote them,PASS,c73dd0d4644d4936
holdout 96 h predictions unchanged since stage 8 wrote them,PASS,b29ecdfadb1c20ec
holdout 168 h predictions unchanged since stage 8 wrote them,PASS,d9e2545a317b8911
"the 168 h holdout result is 65 TP, 13 FP, 25 FN",PASS,"{'tp': 65, 'fp': 13, 'fn': 25}"
"the published floor flags 78 of 1,343 holdout components",PASS,78
within-spec static offsets are detected 6 of 21 across both splits,PASS,6 of 21
one threshold on module_a_score reproduces module_a_disposition,PASS,floor 0.8455864571
Module A never emits REJECT,PASS,"['MONITOR', 'PASS']"
no document repeats a superseded figure without marking it superseded,PASS,clean
robustness / invariance: rows shuffled,PASS,nan
robustness / invariance: rows reversed,PASS,nan
robustness / invariance: columns reordered,PASS,nan
robustness / invariance: index non-monotonic,PASS,nan
robustness / invariance: lots interleaved,PASS,nan
robustness / invariance: an unexpected extra column is ignored,PASS,nan
robustness / sensitivity: every measurement x1000 (unit error),PASS,CONFIRMED 23 -> 1343. The lot-relative statistic is scale-free so the statistical tier barely moves; only the 
robustness / sensitivity: 1% multiplicative measurement noise,PASS,disposition agreement 0.9866
robustness / refusal: a lot arrives short by one component,PASS,"GuardError: batch@168h: incomplete lots (observed, expected) [('A_L03', (69, 70))]"
robustness / semantic: a whole lot is absent from the batch,PASS,"scored 1273 of 1343 components, and every score is identical to the full-batch run. Module A returns one row p"
robustness / refusal: a component is duplicated,PASS,GuardError: batch@168h: duplicate component_id ['C00158']
robustness / refusal: an unknown variant,PASS,GuardError: batch@168h: unknown device_variant ['CMOS_Z']; there is no fitted reference and substituting anoth
robustness / refusal: a negative measurement,PASS,GuardError: batch@168h: non-positive measurements in ['IDDQ_168h']
robustness / refusal: a zero 0 h measurement,PASS,GuardError: batch@168h: non-positive measurements in ['IDDQ_0h']
robustness / refusal: a null measurement,PASS,GuardError: batch@168h: null or non-numeric measurements in ['Propagation_Delay_96h']
robustness / refusal: a non-numeric measurement,PASS,GuardError: batch@168h: null or non-numeric measurements in ['IDDQ_24h']
robustness / refusal: a missing measurement column,PASS,GuardError: batch@168h: missing required columns ['Output_Fall_Time_96h']
robustness / refusal: a lot containing two variants,PASS,GuardError: batch@168h: lots contain more than one device_variant: ['A_L03']. The lot-relative reference assum
robustness / refusal: a blank lot_id,PASS,GuardError: batch@168h: blank or null lot_id
every promised invariance holds with zero score drift,PASS,max drift across invariance cases
no robustness case failed,PASS,0
